instruction_id,recipe_id,ingredient_name,measurement_qty,measurement_unit,createdAt,updatedAt
12,28,"small tomatoes",2,whole,1/1/23,1/1/23
13,28,"small onion",1,whole,1/1/23,1/1/23
14,28,"jalapeno",1,whole,1/1/23,1/1/23
15,28,"cloves of garlic",2,"1 chopped 1 smashed",1/1/23,1/1/23
16,28,"hot sauce","1/2",teaspoons,1/1/23,1/1/23
17,28,"ground cumin",1,teaspoons,1/1/23,1/1/23
18,28,"Kosher salt and pepper",null,null,1/1/23,1/1/23
19,28,"extra virgin olive oil",2,"tablespoons and teaspoons",1/1/23,1/1/23
20,28,"Black beans",1,"15.5-ounce can drained and rinsed",1/1/23,1/1/23
21,28,"Eggs",4,whole,1/1/23,1/1/23
22,28,"6-inch corn tortillas",4,whole,1/1/23,1/1/23
23,28,"crumbled feta cheese","1/2",cup,1/1/23,1/1/23
24,28,"chopped cilantro","1/4",cup,1/1/23,1/1/23
25,29,"low-fat buttermilk",1,"cup",1/1/23,1/1/23
26,29,"nonfat milk","3/4","cup",1/1/23,1/1/23
27,29,"eggs",2,"whole",1/1/23,1/1/23
28,29,"honey",1,"tablespoons",1/1/23,1/1/23
29,29,"pure maple syrup",6,"tablespoons",1/1/23,1/1/23
30,29,"diced apple",1,"whole",1/1/23,1/1/23
31,29,"all-purpose flour","3/4","cup",1/1/23,1/1/23
32,29,"whole-wheat","3/4","cup",1/1/23,1/1/23
33,29,"baking powder",2,"teaspoons",1/1/23,1/1/23
34,29,"baking soda","1/2","teaspoons",1/1/23,1/1/23
35,29,"salt","1/2","teaspoons",1/1/23,1/1/23
36,30,"bittersweet chocolate, coarsly chopped","8","ounces",1/1/23,1/1/23
37,30,"unsalted butter","2","tablespoons",1/1/23,1/1/23
38,30,"whole grain pastry flour","1","cup",1/1/23,1/1/23
39,30,"unsweetened natural cocoa powder","1/4","cup",1/1/23,1/1/23
40,30,"salt","1/4","teaspoons",1/1/23,1/1/23
41,30,"baking soda","1/4","teaspoons",1/1/23,1/1/23
42,30,"eggs","4","whole",1/1/23,1/1/23
43,30,"packed light brown sugar","1","cup",1/1/23,1/1/23
44,30,"plain low-fat yougurt","1/2","cup",1/1/23,1/1/23
45,30,"canola oil","1/4","cup",1/1/23,1/1/23
46,30,"vanilla extract","2","teaspoons",1/1/23,1/1/23
47,30,"(optional) chopped walnuts","3/4","cup",1/1/23,1/1/23
48,31,"elbow macaroni","1","8 ounce box",1/1/23,1/1/23
49,31,"butter","1/4","cup",1/1/23,1/1/23
50,31,"all-purpose flour","1/4","cup",1/1/23,1/1/23
51,31,"salt","1/2","teaspoons",1/1/23,1/1/23
52,31,"black pepper","1/4","teaspoons",1/1/23,1/1/23
53,31,"milk","2","cups",1/1/23,1/1/23
54,31,"shredded cheddar cheese","2","cups",1/1/23,1/1/23
55,32,"russet potatoes","3","whole",1/1/23,1/1/23
56,32,"extra virgin olive oil","1/4","cup",1/1/23,1/1/23
57,32,"cayenne pepper","1","pinch",1/1/23,1/1/23
58,32,"Kosher salt","1","pinch",1/1/23,1/1/23
59,32,"Olive oil","","",1/1/23,1/1/23
60,32,"crispy rice cereal","2 3/4","cups",1/1/23,1/1/23
61,32,"Kosher salt and freshly ground black pepper","1","pinch",1/1/23,1/1/23
62,32,"egg white","3","whole",1/1/23,1/1/23
64,32,"skinless, boneless Pollock (or other firm white fish), cut into 2-by-4-inch pieces","1 1/2","lbs",1/1/23,1/1/23
63,32,"Tartar sauce and/or malt vinegar","1","",1/1/23,1/1/23
64,33,"all-purpose flour","1 1/2","cups",1/1/23,1/1/23
65,33,"yellow cornmeal","2 1/2","cups",1/1/23,1/1/23
66,33,"sugar","1 1/2","cups",1/1/23,1/1/23
67,33,"baking powder","1","tablespoons",1/1/23,1/1/23
68,33,"salt","3/4","teaspoons",1/1/23,1/1/23
69,33,"low-fat buttermilk","2","cups",1/1/23,1/1/23
70,33,"apricot nectar","1/2","cup",1/1/23,1/1/23
71,33,"grapeseed oil","3","tablespoons",1/1/23,1/1/23
72,33,"vanilla extract","2","teaspoons",1/1/23,1/1/23
73,33,"orange zest","1","teaspoons",1/1/23,1/1/23
74,33,"egg whites","4","whole",1/1/23,1/1/23
75,33,"frozen raspberries ","2","cups",1/1/23,1/1/23
76,34,"2-percent Greek yogurt","12","ounces",1/1/23,1/1/23
77,34,"lowfat (1-percent) milk","1","cup",1/1/23,1/1/23
78,34,"reduced-fat sour cream","1/2","cup",1/1/23,1/1/23
79,34,"unbleached all-purpose flour","3","tablespoons",1/1/23,1/1/23
80,34,"frozen shredded hash browns, thawed","2","lbs",1/1/23,1/1/23
81,34,"shredded extra-sharp Cheddar","1","cup",1/1/23,1/1/23
82,34,"Kosher salt and freshly ground black pepper","","",1/1/23,1/1/23
83,34,"unsalted butter","2","tablespoons",1/1/23,1/1/23
84,34,"yellow onions, chopped","2","whole",1/1/23,1/1/23
85,34,"sliced cremini (baby bella) mushrooms","1","lbs",1/1/23,1/1/23
86,34,"cloves garlic, minced","3","whole",1/1/23,1/1/23
87,34,"panko breadcrumbs","2","tablespoons",1/1/23,1/1/23
88,34,"ground nutmeg","1/4","teaspoons",1/1/23,1/1/23
89,34,"chopped fresh parsley or chives, for garnish","1 to 2","tablespoons",1/1/23,1/1/23
190,35,"reduced-fat cream cheese","8","ounces",1/1/23,1/1/23
191,35,"sugar","1/3","cup",1/1/23,1/1/23
192,35,"vanilla extract","1/2","teaspoons",1/1/23,1/1/23
193,35,"egg","1","whole",1/1/23,1/1/23
194,35,"semisweet chocolate, coarsely chopped","2","ounces",1/1/23,1/1/23
195,35,"unsalted butter","3","tablespoons",1/1/23,1/1/23
196,35,"canola oil","2","tablespoons",1/1/23,1/1/23
197,35,"all-purpose flour","1","cup",1/1/23,1/1/23
198,35,"unsweetened Dutch-process cocoa powder","1/2","cup",1/1/23,1/1/23
199,35,"baking powder","1","teaspoons",1/1/23,1/1/23
200,35,"fine sea salt","1/2","teaspoons",1/1/23,1/1/23
201,35,"cayenne pepper","1","pinch",1/1/23,1/1/23
202,35,"packed dark brown sugar","3/4","cup",1/1/23,1/1/23
203,35,"granulated sugar","1/4","cup",1/1/23,1/1/23
204,35,"lowfat buttermilk","1/2","cup",1/1/23,1/1/23
205,35,"egg whites","2","whole",1/1/23,1/1/23
206,35,"vanilla extract","2","teaspoons",1/1/23,1/1/23
207,36,"olive oil","1","tablespoons",1/1/23,1/1/23
208,36,"small yellow onion, chopped","1","whole",1/1/23,1/1/23
209,36,"cloves garlic, minced","2 to 3","whole",1/1/23,1/1/23
210,36,"can crushed tomatoes","28","ounce",1/1/23,1/1/23
211,36,"balsamic vinegar","1","tablespoons",1/1/23,1/1/23
212,36,"Salt","1","pinch",1/1/23,1/1/23
213,36,"red pepper flakes","1/4","teaspoons",1/1/23,1/1/23
214,36,"chopped fresh basil leaves","1/4","cup",1/1/23,1/1/23
215,36,"thin chicken cutlets","1/4","lbs",1/1/23,1/1/23
216,36,"Salt","1","pinch",1/1/23,1/1/23
217,36,"egg whites","2","whole",1/1/23,1/1/23
218,36,"dry Italian bread crumbs","6","tablespoons",1/1/23,1/1/23
219,36,"grated Parmesan","2","tablespoons",1/1/23,1/1/23
220,36,"all-purpose flour","3","tablespoons",1/1/23,1/1/23
221,36,"olive oil","4 to 5","teaspoons",1/1/23,1/1/23
222,36,"part-skim shredded mozzarella cheese","1/2","cup",1/1/23,1/1/23
223,37,"fresh or frozen cranberries, thawed","1","cup",1/1/23,1/1/23
224,37,"ketchup","2","tablespoons",1/1/23,1/1/23
225,37,"honey","1","tablespoons",1/1/23,1/1/23
226,37,"sriracha","1","tablespoons",1/1/23,1/1/23
227,37,"Dijon mustard","2 1/2","teaspoons",1/1/23,1/1/23
228,37,"Fresh rosemary, leaves finely chopped","2","tablespoons",1/1/23,1/1/23
229,37,"Kosher salt and freshly ground black pepper","1","pinch",1/1/23,1/1/23
230,37,"carrot","1","whole",1/1/23,1/1/23
231,37,"onion","1","whole",1/1/23,1/1/23
232,37,"90 percent lean ground beef","1","lbs",1/1/23,1/1/23
233,37,"85 percent lean ground turkey","8","ounces",1/1/23,1/1/23
234,37,"egg","1","whole",1/1/23,1/1/23
235,37,"instant barley","1/2","cup",1/1/23,1/1/23
236,37,"Worcestershire sauce","2","teaspoons",1/1/23,1/1/23
237,38,"vanilla-flavored unsweetened almond milk","1","cup",1/1/23,1/1/23
238,38,"plain low-fat Greek yogurt","1","cup",1/1/23,1/1/23
240,38,"pure maple syrup","2","tablespoons",1/1/23,1/1/23
241,38,"pure vanilla extract","1","teaspoons",1/1/23,1/1/23
242,38,"Kosher salt","1","pinch",1/1/23,1/1/23
243,38,"chia seeds","1/4","cup",1/1/23,1/1/23
244,38,"strawberries, hulled and chopped","1","pint",1/1/23,1/1/23
245,38,"sliced almonds, toasted","1/4","cup",1/1/23,1/1/23
246,39,"whole milk","1 1/2","cup",1/1/23,1/1/23
247,39,"eggs","2","whole",1/1/23,1/1/23
248,39,"all-purpose flour","2","cups",1/1/23,1/1/23
249,39,"seasoned salt","2","teaspoons",1/1/23,1/1/23
250,39,"Freshly ground black pepper","1","pinch",1/1/23,1/1/23
251,39,"teaspoon paprika","3/4","teaspoons",1/1/23,1/1/23
252,39,"cayenne pepper","1/4","teaspoons",1/1/23,1/1/23
253,39,"cube steak (tenderized round steak that's been extra tenderized)","3","lbs",1/1/23,1/1/23
254,39,"Kosher salt","1","pinch",1/1/23,1/1/23
255,39,"canola or vegetable oil","1/2","cup",1/1/23,1/1/23
256,39,"butter","1","tablespoons",1/1/23,1/1/23
257,39,"all-purpose flour","1/3","cup",1/1/23,1/1/23
258,39,"cups whole milk","3 to 4","cups",1/1/23,1/1/23
259,39,"seasoned salt","1/2","teaspoons",1/1/23,1/1/23
260,39,"Freshly ground black pepper","1","pinch",1/1/23,1/1/23
261,39,"Mashed potatoes, for serving","1/4","lbs",1/1/23,1/1/23
262,40,"boneless, skinless chicken breast halves","8","ounces",1/1/23,1/1/23
263,40,"cayenne pepper hot sauce","2","tablespoons",1/1/23,1/1/23
264,40,"olive oil","2","teaspoons",1/1/23,1/1/23
265,40,"Romaine, cut into 1-inch strips","8","cups",1/1/23,1/1/23
266,40,"celery stalks, thinly sliced","4","whole",1/1/23,1/1/23
267,40,"carrots, coarsely grated","2","whole",1/1/23,1/1/23
268,40,"scallions, green part only, sliced","2","whole",1/1/23,1/1/23
269,40,"Blue Cheese Dressing","1/2","cup",1/1/23,1/1/23
270,40,"mayonnaise","2","tablespoons",1/1/23,1/1/23
271,40,"lowfat buttermilk","1/4","cups",1/1/23,1/1/23
272,40,"plain fat-free yogurt","1/4","cups",1/1/23,1/1/23
273,40,"white vinegar","1","tablespoons",1/1/23,1/1/23
274,40,"sugar","1/2","teaspoons",1/1/23,1/1/23
275,40,"crumbled blue cheese","1/3","cup",1/1/23,1/1/23
276,40,"Salt and freshly ground pepper","1","pinch",1/1/23,1/1/23
277,41,"olive oil","4","teaspoons",1/1/23,1/1/23
278,41,"Frozen chopped kale","2","cups",1/1/23,1/1/23
279,41,"cloves garlic, finely chopped","2","whole",1/1/23,1/1/23
280,41,"Kosher salt","1","pinch",1/1/23,1/1/23
281,41,"frozen whole kernel corn","1/3","cup",1/1/23,1/1/23
282,41,"pepper jack cheese, grated","1/2","cup",1/1/23,1/1/23
283,41,"boneless skinless chicken breast halves","4 8 ounce","whole",1/1/23,1/1/23
284,41,"Freshly ground black pepper","1","pinch",1/1/23,1/1/23
285,41,"low-sodium chicken broth","1/2","cup",1/1/23,1/1/23
286,41,"all-purpose flour","1","teaspoons",1/1/23,1/1/23
287,41,"fresh lemon juice","1 1/2","teaspoons",1/1/23,1/1/23
288,42,"pitted prunes","1","cup",1/1/23,1/1/23
289,42,"black tea bags","4","whole",1/1/23,1/1/23
290,42,"sugar","1/2","cup",1/1/23,1/1/23
291,42,"salt","1","pinch",1/1/23,1/1/23
292,42,"vanilla bean, split lengthwise and seeds scraped out","1","whole",1/1/23,1/1/23
293,42,"strips lemon zest","3","whole",1/1/23,1/1/23
294,42,"cognac or brandy","1/2","cup",1/1/23,1/1/23
295,42,"Firm cooking apples, peeled and cut into wedges","2","whole",1/1/23,1/1/23
296,42,"Bosc pears, peeled and cut into wedges","3","whole",1/1/23,1/1/23
297,42,"unsalted butter","4","tablespoons",1/1/23,1/1/23
298,42,"eggs","4","whole",1/1/23,1/1/23
299,42,"salt","1/2","teaspoons",1/1/23,1/1/23
300,42,"half-and-half","3/4","cups",1/1/23,1/1/23
301,42,"all-purpose flour","3/4","cups",1/1/23,1/1/23
302,42,"grated orange zest","1","teaspoons",1/1/23,1/1/23
303,42,"fresh orange juice","2","tablespoons",1/1/23,1/1/23
304,42,"almond extract","1/2","teaspoons",1/1/23,1/1/23
305,43,"1-percent milk","1","cup",1/1/23,1/1/23
306,43,"unsalted butter","4","tablespoons",1/1/23,1/1/23
307,43,"envelopes active dry yeast","2, .25","ounces",1/1/23,1/1/23
308,43,"raisins","1/2","cup",1/1/23,1/1/23
309,43,"white whole wheat flour","2 1/4","cups",1/1/23,1/1/23
310,43,"all-purpose flour, plus extra as needed","1 1/4","cup",1/1/23,1/1/23
311,43,"kosher salt","1","teaspoons",1/1/23,1/1/23
312,43,"eggs","2","whole",1/1/23,1/1/23
313,43,"granulated sugar","1/2","cups",1/1/23,1/1/23
314,43,"apple butter","2","tablespoons",1/1/23,1/1/23
315,43,"ground cinnamon","2","tablespoons",1/1/23,1/1/23
316,43," packed dark brown sugar","2","tablespoons",1/1/23,1/1/23
317,43,"confectioners' sugar","1/4","cup",1/1/23,1/1/23
318,44,"raspberries","1, 1/2","pint",1/1/23,1/1/23
319,44,"sugar","1","tablespoons",1/1/23,1/1/23
320,44,"cake flour","2 1/3","cups",1/1/23,1/1/23
321,44,"baking powder","1 1/2","teaspoons",1/1/23,1/1/23
322,44,"baking soda","1/4","teaspoons",1/1/23,1/1/23
323,44,"salt","1/2","teaspoons",1/1/23,1/1/23
324,44,"lowfat buttermilk","1/2","cup",1/1/23,1/1/23
325,44,"vegetable oil","1/3","cup",1/1/23,1/1/23
326,44,"finely grated lemon zest","1","tablespoons",1/1/23,1/1/23
327,44,"fresh lemon juice","2","tablespoons",1/1/23,1/1/23
328,44,"eggs","2","whole",1/1/23,1/1/23
329,44,"egg white","1","whole",1/1/23,1/1/23
330,44,"sugar","1 1/4","cups",1/1/23,1/1/23
331,44,"sugar","3/4","cups",1/1/23,1/1/23
332,44,"egg whites","2","whole",1/1/23,1/1/23
333,44,"water","3","tablespoons",1/1/23,1/1/23
334,44,"cream of tartar","1/2","teaspoons",1/1/23,1/1/23
335,44,"fine salt","1/8","teaspoons",1/1/23,1/1/23
336,44,"finely grated lemon zest","1","tablespoons",1/1/23,1/1/23
337,44,"pure vanilla extract","1","teaspoons",1/1/23,1/1/23
338,45,"thinly-sliced deli ham","6","ounces",1/1/23,1/1/23
339,45,"whole-wheat English muffins, split, toasted and halved","4","whole",1/1/23,1/1/23
